Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:13:55 26.15 51.63
2024-09-23 05:13:56 26.14 51.58
2024-09-23 05:13:58 26.13 51.60
2024-09-23 05:13:59 26.15 51.56
2024-09-23 05:14:01 26.14 51.56
2024-09-23 05:14:02 26.12 51.57
2024-09-23 05:14:04 26.14 51.61
2024-09-23 05:14:05 26.13 51.57
2024-09-23 05:14:07 26.13 51.53
2024-09-23 05:14:08 26.14 51.59
2024-09-23 05:14:10 26.15 51.56
2024-09-23 05:14:11 26.13 51.57
2024-09-23 05:14:13 26.14 51.58
2024-09-23 05:14:14 26.12 51.58
2024-09-23 05:14:16 26.14 51.55
2024-09-23 05:14:17 26.13 51.59
2024-09-23 05:14:19 26.17 51.55
2024-09-23 05:14:20 26.14 51.54
2024-09-23 05:14:22 26.14 51.55
2024-09-23 05:14:23 26.14 51.56
2024-09-23 05:14:25 26.13 51.59
2024-09-23 05:14:26 26.14 51.56
2024-09-23 05:14:28 26.14 51.62
2024-09-23 05:14:29 26.14 51.54
2024-09-23 05:14:31 26.16 51.58
2024-09-23 05:14:32 26.16 51.61
2024-09-23 05:14:34 26.15 51.54
2024-09-23 05:14:35 26.13 51.59
2024-09-23 05:14:37 26.15 51.62
2024-09-23 05:14:38 26.14 51.60
2024-09-23 05:14:40 26.16 51.59
2024-09-23 05:14:41 26.12 51.60
2024-09-23 05:14:43 26.13 51.57
2024-09-23 05:14:44 26.15 51.55
2024-09-23 05:14:46 26.14 51.55
2024-09-23 05:14:47 26.12 51.54
2024-09-23 05:14:49 26.15 51.61
2024-09-23 05:14:50 26.13 51.58
2024-09-23 05:14:52 26.15 51.61
2024-09-23 05:14:54 26.13 51.58
2024-09-23 05:14:55 26.13 51.59
2024-09-23 05:14:57 26.12 51.62
2024-09-23 05:14:58 26.13 51.58
2024-09-23 05:15:00 26.15 51.61
2024-09-23 05:15:01 26.12 51.60
2024-09-23 05:15:03 26.13 51.57
2024-09-23 05:15:04 26.13 51.62
2024-09-23 05:15:06 26.14 51.58
2024-09-23 05:15:07 26.12 51.60
2024-09-23 05:15:09 26.16 51.60
2024-09-23 05:15:10 26.13 51.60
2024-09-23 05:15:12 26.13 51.61
2024-09-23 05:15:13 26.13 51.59
2024-09-23 05:15:15 26.12 51.59
2024-09-23 05:15:16 26.12 51.64
2024-09-23 05:15:18 26.11 51.59
2024-09-23 05:15:19 26.13 51.58
2024-09-23 05:15:21 26.12 51.62
2024-09-23 05:15:22 26.13 51.62
2024-09-23 05:15:24 26.12 51.59
2024-09-23 05:15:25 26.12 51.56
2024-09-23 05:15:27 26.14 51.55
2024-09-23 05:15:28 26.14 51.60
2024-09-23 05:15:30 26.13 51.60
2024-09-23 05:15:31 26.11 51.59
2024-09-23 05:15:33 26.11 51.57
2024-09-23 05:15:34 26.11 51.58
2024-09-23 05:15:36 26.14 51.63
2024-09-23 05:15:37 26.12 51.62
2024-09-23 05:15:39 26.12 51.59
2024-09-23 05:15:40 26.12 51.62
2024-09-23 05:15:42 26.11 51.61
2024-09-23 05:15:43 26.12 51.60
2024-09-23 05:15:45 26.13 51.60
2024-09-23 05:15:46 26.14 51.58
2024-09-23 05:15:48 26.11 51.61
2024-09-23 05:15:49 26.13 51.65
2024-09-23 05:15:51 26.13 51.59
2024-09-23 05:15:52 26.15 51.64
2024-09-23 05:15:54 26.13 51.61
2024-09-23 05:15:56 26.13 51.64
2024-09-23 05:15:57 26.14 51.60
2024-09-23 05:15:59 26.13 51.58
2024-09-23 05:16:00 26.14 51.64
2024-09-23 05:16:02 26.12 51.61
2024-09-23 05:16:03 26.15 51.66
2024-09-23 05:16:05 26.13 51.61
2024-09-23 05:16:06 26.13 51.58
2024-09-23 05:16:08 26.15 51.62
2024-09-23 05:16:09 26.13 51.57
2024-09-23 05:16:11 26.14 51.60
2024-09-23 05:16:12 26.15 51.60
2024-09-23 05:16:14 26.15 51.61
2024-09-23 05:16:15 26.14 51.61
2024-09-23 05:16:17 26.12 51.62
2024-09-23 05:16:18 26.09 51.58
2024-09-23 05:16:20 26.10 51.59
2024-09-23 05:16:21 26.14 51.59
2024-09-23 05:16:23 26.11 51.57
2024-09-23 05:16:24 26.13 51.58
2024-09-23 05:16:26 26.12 51.60
2024-09-23 05:16:27 26.13 51.64
2024-09-23 05:16:29 26.10 51.59
2024-09-23 05:16:30 26.11 51.59
2024-09-23 05:16:32 26.12 51.59
2024-09-23 05:16:33 26.13 51.60
2024-09-23 05:16:35 26.14 51.63
2024-09-23 05:16:36 26.12 51.64
2024-09-23 05:16:38 26.13 51.58
2024-09-23 05:16:39 26.13 51.64
2024-09-23 05:16:41 26.12 51.65
2024-09-23 05:16:42 26.14 51.64
2024-09-23 05:16:44 26.13 51.62
2024-09-23 05:16:45 26.13 51.65
2024-09-23 05:16:47 26.14 51.62
2024-09-23 05:16:48 26.13 51.62
2024-09-23 05:16:50 26.15 51.58
2024-09-23 05:16:51 26.13 51.64
2024-09-23 05:16:53 26.11 51.58
2024-09-23 05:16:54 26.13 51.60
2024-09-23 05:16:56 26.13 51.66
2024-09-23 05:16:58 26.13 51.68
2024-09-23 05:16:59 26.13 51.65
2024-09-23 05:17:01 26.13 51.61
2024-09-23 05:17:02 26.14 51.65
2024-09-23 05:17:04 26.13 51.62
2024-09-23 05:17:05 26.14 51.65
2024-09-23 05:17:07 26.13 51.63
2024-09-23 05:17:08 26.14 51.62
2024-09-23 05:17:10 26.12 51.63
2024-09-23 05:17:11 26.14 51.59
2024-09-23 05:17:13 26.13 51.63
2024-09-23 05:17:14 26.13 51.64
2024-09-23 05:17:16 26.11 51.60
2024-09-23 05:17:17 26.12 51.63
2024-09-23 05:17:19 26.15 51.65
2024-09-23 05:17:20 26.14 51.63
2024-09-23 05:17:22 26.16 51.65
2024-09-23 05:17:23 26.15 51.69
2024-09-23 05:17:25 26.15 51.66
2024-09-23 05:17:26 26.14 51.64
2024-09-23 05:17:28 26.14 51.66
2024-09-23 05:17:29 26.11 51.65
2024-09-23 05:17:31 26.13 51.63
2024-09-23 05:17:32 26.12 51.63
2024-09-23 05:17:34 26.15 51.62
2024-09-23 05:17:35 26.12 51.62
2024-09-23 05:17:37 26.13 51.71
2024-09-23 05:17:38 26.11 51.67
2024-09-23 05:17:40 26.14 51.63
2024-09-23 05:17:41 26.10 51.60
2024-09-23 05:17:43 26.13 51.68
2024-09-23 05:17:44 26.12 51.65
2024-09-23 05:17:46 26.13 51.63
2024-09-23 05:17:47 26.13 51.62
2024-09-23 05:17:49 26.13 51.62
2024-09-23 05:17:50 26.14 51.64
2024-09-23 05:17:52 26.15 51.63
2024-09-23 05:17:53 26.15 51.61
2024-09-23 05:17:55 26.13 51.67
2024-09-23 05:17:57 26.14 51.63
2024-09-23 05:17:58 26.13 51.64
2024-09-23 05:18:00 26.12 51.65
2024-09-23 05:18:01 26.12 51.64
2024-09-23 05:18:03 26.13 51.64
2024-09-23 05:18:04 26.13 51.65
2024-09-23 05:18:06 26.11 51.63
2024-09-23 05:18:07 26.13 51.62
2024-09-23 05:18:09 26.12 51.62
2024-09-23 05:18:10 26.14 51.62
2024-09-23 05:18:12 26.12 51.61
2024-09-23 05:18:13 26.13 51.55
2024-09-23 05:18:15 26.14 51.55
2024-09-23 05:18:16 26.13 51.59
2024-09-23 05:18:18 26.13 51.57
2024-09-23 05:18:19 26.13 51.57
2024-09-23 05:18:21 26.13 51.60
2024-09-23 05:18:22 26.14 51.60
2024-09-23 05:18:24 26.14 51.63
2024-09-23 05:18:25 26.13 51.65
2024-09-23 05:18:27 26.13 51.63
2024-09-23 05:18:28 26.13 51.59
2024-09-23 05:18:30 26.13 51.62
2024-09-23 05:18:31 26.14 51.62
2024-09-23 05:18:33 26.13 51.62
2024-09-23 05:18:34 26.12 51.62
2024-09-23 05:18:36 26.14 51.63
2024-09-23 05:18:37 26.14 51.64
2024-09-23 05:18:39 26.14 51.64
2024-09-23 05:18:40 26.11 51.60
2024-09-23 05:18:42 26.13 51.61
2024-09-23 05:18:43 26.12 51.56
2024-09-23 05:18:45 26.14 51.62
2024-09-23 05:18:46 26.13 51.63
2024-09-23 05:18:48 26.13 51.60
2024-09-23 05:18:49 26.13 51.58
