Timestamp Temperature(°C) Humidity(%)
2024-08-06 23:36:13 38.37 34.69
2024-08-06 23:36:14 38.12 35.04
2024-08-06 23:36:15 37.91 35.31
2024-08-06 23:36:16 37.64 35.63
2024-08-06 23:36:17 37.39 35.93
2024-08-06 23:36:18 37.13 36.23
2024-08-06 23:36:19 36.85 36.55
2024-08-06 23:36:20 36.59 36.86
2024-08-06 23:36:21 36.37 37.11
2024-08-06 23:36:22 36.13 37.41
2024-08-06 23:36:23 35.86 38.35
2024-08-06 23:36:24 35.60 38.90
2024-08-06 23:36:25 35.33 39.11
2024-08-06 23:36:26 35.13 39.23
2024-08-06 23:36:27 34.93 39.45
2024-08-06 23:36:28 34.42 50.42
2024-08-06 23:36:29 34.19 45.80
2024-08-06 23:36:30 34.01 45.26
2024-08-06 23:36:31 33.87 45.42
2024-08-06 23:36:32 33.57 44.40
2024-08-06 23:36:33 33.21 43.84
2024-08-06 23:36:34 32.96 43.56
2024-08-06 23:36:35 32.78 43.54
2024-08-06 23:36:36 32.66 43.70
2024-08-06 23:36:37 32.54 43.65
2024-08-06 23:36:38 32.36 43.81
2024-08-06 23:36:39 32.30 50.14
2024-08-06 23:36:40 32.28 50.97
2024-08-06 23:36:42 -50.00 0.00
2024-08-06 23:36:43 -50.00 0.00
2024-08-06 23:36:44 -50.00 0.00
2024-08-06 23:36:45 -50.00 0.00
2024-08-06 23:36:46 -50.00 0.00
2024-08-06 23:36:47 -50.00 0.00
2024-08-06 23:36:48 -50.00 0.00
2024-08-06 23:36:49 -50.00 0.00
2024-08-06 23:36:50 -50.00 0.00
2024-08-06 23:36:51 -50.00 0.00
2024-08-06 23:36:52 -50.00 0.00
2024-08-06 23:36:53 -50.00 0.00
2024-08-06 23:36:54 -50.00 0.00
2024-08-06 23:36:55 -50.00 0.00
2024-08-06 23:36:56 -50.00 0.00
2024-08-06 23:36:58 -50.00 0.00
2024-08-06 23:36:59 -50.00 0.00
2024-08-06 23:37:00 -50.00 0.00
2024-08-06 23:37:01 -50.00 0.00
2024-08-06 23:37:02 -50.00 0.00
2024-08-06 23:37:03 -50.00 0.00
2024-08-06 23:37:04 -50.00 0.00
2024-08-06 23:37:05 -50.00 0.00
2024-08-06 23:37:06 -50.00 0.00
2024-08-06 23:37:07 -50.00 0.00
2024-08-06 23:37:08 -50.00 0.00
2024-08-06 23:37:09 -50.00 0.00
2024-08-06 23:37:10 -50.00 0.00
2024-08-06 23:37:11 -50.00 0.00
2024-08-06 23:37:12 -50.00 0.00
2024-08-06 23:37:13 -50.00 0.00
2024-08-06 23:37:15 -50.00 0.00
2024-08-06 23:37:16 -50.00 0.00
2024-08-06 23:37:17 -50.00 0.00
2024-08-06 23:37:18 26.33 100.00
2024-08-06 23:37:19 26.10 91.20
2024-08-06 23:37:20 25.99 87.73
2024-08-06 23:37:21 25.93 83.53
2024-08-06 23:37:22 25.90 80.93
2024-08-06 23:37:23 25.91 80.46
2024-08-06 23:37:24 25.92 80.39
2024-08-06 23:37:25 25.93 80.08
2024-08-06 23:37:26 25.96 79.50
2024-08-06 23:37:27 26.01 79.34
2024-08-06 23:37:28 26.01 78.72
2024-08-06 23:37:29 26.02 76.83
2024-08-06 23:37:30 26.01 75.79
2024-08-06 23:37:31 26.04 75.72
2024-08-06 23:37:32 26.07 76.00
2024-08-06 23:37:33 26.07 74.18
2024-08-06 23:37:34 26.09 73.88
2024-08-06 23:37:35 26.11 72.68
2024-08-06 23:37:36 26.10 72.34
2024-08-06 23:37:37 26.09 71.33
2024-08-06 23:37:38 26.08 71.54
2024-08-06 23:37:39 26.07 70.11
2024-08-06 23:37:40 26.05 69.40
2024-08-06 23:37:41 26.02 68.85
2024-08-06 23:37:42 26.03 68.38
2024-08-06 23:37:43 26.03 68.05
2024-08-06 23:37:44 26.01 67.63
2024-08-06 23:37:45 25.99 67.24
2024-08-06 23:37:46 26.02 66.96
2024-08-06 23:37:47 26.02 66.67
2024-08-06 23:37:48 25.96 66.26
2024-08-06 23:37:49 25.95 66.25
2024-08-06 23:37:50 25.97 66.56
2024-08-06 23:37:51 25.92 66.12
2024-08-06 23:37:52 25.90 65.94
2024-08-06 23:37:53 25.91 66.04
2024-08-06 23:37:54 25.89 65.91
2024-08-06 23:37:55 25.91 65.74
2024-08-06 23:37:56 25.89 65.96
2024-08-06 23:37:57 25.89 65.82
2024-08-06 23:37:58 25.83 65.71
2024-08-06 23:37:59 25.82 65.76
2024-08-06 23:38:00 25.81 65.84
2024-08-06 23:38:01 25.81 66.07
2024-08-06 23:38:02 25.82 65.85
2024-08-06 23:38:03 25.82 65.82
2024-08-06 23:38:04 25.85 65.78
2024-08-06 23:38:05 25.86 66.06
2024-08-06 23:38:06 25.89 66.10
2024-08-06 23:38:07 25.89 65.92
