Timestamp Temperature(°C) Humidity(%)
2024-08-09 14:45:47 26.55 81.19
2024-08-09 14:45:48 26.60 80.91
2024-08-09 14:45:49 26.63 80.07
2024-08-09 14:45:50 26.62 79.53
2024-08-09 14:45:51 26.58 78.83
2024-08-09 14:45:52 26.57 78.38
2024-08-09 14:45:53 26.55 78.21
2024-08-09 14:45:54 26.54 78.30
2024-08-09 14:45:55 26.55 78.35
2024-08-09 14:45:56 26.54 78.94
2024-08-09 14:45:57 26.55 79.88
2024-08-09 14:45:58 26.61 80.40
2024-08-09 14:45:59 26.60 80.50
2024-08-09 14:46:00 26.62 80.51
2024-08-09 14:46:01 26.64 80.49
2024-08-09 14:46:02 26.67 81.06
2024-08-09 14:46:03 26.68 81.21
2024-08-09 14:46:04 26.71 81.07
2024-08-09 14:46:05 26.70 80.70
2024-08-09 14:46:06 26.72 80.92
2024-08-09 14:46:07 26.71 80.93
2024-08-09 14:46:08 26.75 80.80
2024-08-09 14:46:09 26.76 80.70
2024-08-09 14:46:10 26.78 80.56
2024-08-09 14:46:11 26.79 80.50
2024-08-09 14:46:12 26.79 80.36
2024-08-09 14:46:14 26.81 80.27
2024-08-09 14:46:15 26.84 80.05
2024-08-09 14:46:16 26.84 79.82
2024-08-09 14:46:17 26.84 79.62
2024-08-09 14:46:18 26.84 79.55
2024-08-09 14:46:19 26.86 79.37
2024-08-09 14:46:20 26.84 79.38
2024-08-09 14:46:21 26.84 79.22
2024-08-09 14:46:22 26.82 78.37
2024-08-09 14:46:23 26.75 77.40
2024-08-09 14:46:24 26.69 76.57
2024-08-09 14:46:25 26.67 76.59
2024-08-09 14:46:26 26.67 77.68
2024-08-09 14:46:27 26.68 78.22
2024-08-09 14:46:28 26.63 77.59
2024-08-09 14:46:29 26.60 76.90
2024-08-09 14:46:30 26.57 77.08
2024-08-09 14:46:31 26.53 76.63
2024-08-09 14:46:32 26.50 76.20
2024-08-09 14:46:33 26.48 75.58
2024-08-09 14:46:34 26.42 74.99
2024-08-09 14:46:35 26.43 75.24
2024-08-09 14:46:36 26.47 75.57
2024-08-09 14:46:37 26.46 75.98
2024-08-09 14:46:38 26.48 75.95
2024-08-09 14:46:39 26.49 76.39
2024-08-09 14:46:40 26.49 76.32
2024-08-09 14:46:41 26.49 77.12
2024-08-09 14:46:42 26.53 77.68
2024-08-09 14:46:43 26.53 77.99
2024-08-09 14:46:44 26.55 78.12
2024-08-09 14:46:45 26.55 78.41
2024-08-09 14:46:46 26.59 78.49
2024-08-09 14:46:47 26.61 78.33
2024-08-09 14:46:48 26.60 78.02
2024-08-09 14:46:49 26.58 77.39
2024-08-09 14:46:50 26.57 77.30
