Timestamp Temperature(°C) Humidity(%)
2024-08-09 15:21:06 27.81 90.22
2024-08-09 15:21:07 27.85 90.27
2024-08-09 15:21:08 27.87 90.29
2024-08-09 15:21:09 27.89 90.23
2024-08-09 15:21:10 27.88 90.18
2024-08-09 15:21:11 27.89 90.19
2024-08-09 15:21:12 27.90 90.13
2024-08-09 15:21:13 27.89 90.12
2024-08-09 15:21:14 27.91 90.13
2024-08-09 15:21:15 27.92 90.15
2024-08-09 15:21:16 27.90 90.21
2024-08-09 15:21:17 27.91 90.21
2024-08-09 15:21:18 27.94 90.25
2024-08-09 15:21:19 27.91 90.29
2024-08-09 15:21:20 27.94 90.30
2024-08-09 15:21:21 27.93 90.28
2024-08-09 15:21:22 27.91 90.31
2024-08-09 15:21:23 27.89 89.67
2024-08-09 15:21:24 27.87 89.58
2024-08-09 15:21:25 27.86 89.34
2024-08-09 15:21:26 27.86 89.09
2024-08-09 15:21:27 27.85 89.15
2024-08-09 15:21:28 27.87 89.05
2024-08-09 15:21:29 27.84 88.69
2024-08-09 15:21:30 27.80 88.52
2024-08-09 15:21:31 27.79 88.38
2024-08-09 15:21:32 27.78 88.30
2024-08-09 15:21:33 27.75 88.24
2024-08-09 15:21:35 27.75 88.19
2024-08-09 15:21:36 27.75 87.99
2024-08-09 15:21:37 27.75 87.80
2024-08-09 15:21:38 27.72 87.61
2024-08-09 15:21:39 27.71 87.32
2024-08-09 15:21:40 27.69 87.11
2024-08-09 15:21:41 27.69 87.09
2024-08-09 15:21:42 27.70 87.09
2024-08-09 15:21:43 27.72 87.25
2024-08-09 15:21:44 27.70 87.33
2024-08-09 15:21:45 27.72 87.50
2024-08-09 15:21:46 27.72 87.55
2024-08-09 15:21:47 27.75 87.71
2024-08-09 15:21:48 27.73 88.10
2024-08-09 15:21:49 27.74 88.89
2024-08-09 15:21:50 27.75 88.89
2024-08-09 15:21:51 27.74 88.74
2024-08-09 15:21:52 27.76 88.69
2024-08-09 15:21:53 27.75 88.64
2024-08-09 15:21:54 27.74 88.45
2024-08-09 15:21:55 27.71 88.33
2024-08-09 15:21:56 27.74 88.29
2024-08-09 15:21:57 27.74 88.26
2024-08-09 15:21:58 27.73 88.27
2024-08-09 15:21:59 27.72 88.29
2024-08-09 15:22:00 27.73 88.26
2024-08-09 15:22:01 27.73 88.15
2024-08-09 15:22:02 27.70 88.21
2024-08-09 15:22:03 27.71 88.22
2024-08-09 15:22:04 27.72 88.14
2024-08-09 15:22:05 27.72 88.09
2024-08-09 15:22:06 27.73 88.13
2024-08-09 15:22:07 27.72 88.10
2024-08-09 15:22:08 27.74 88.11
2024-08-09 15:22:09 27.71 88.32
2024-08-09 15:22:10 27.72 88.33
2024-08-09 15:22:11 27.74 88.29
2024-08-09 15:22:12 27.73 88.32
2024-08-09 15:22:13 27.70 88.27
2024-08-09 15:22:14 27.73 88.28
2024-08-09 15:22:15 27.75 88.29
2024-08-09 15:22:16 27.77 88.30
2024-08-09 15:22:17 27.76 88.28
2024-08-09 15:22:18 27.76 88.26
2024-08-09 15:22:19 27.77 88.27
2024-08-09 15:22:20 27.78 88.23
2024-08-09 15:22:22 27.80 88.29
2024-08-09 15:22:23 27.74 88.23
2024-08-09 15:22:24 27.77 88.27
2024-08-09 15:22:25 27.77 87.99
2024-08-09 15:22:26 27.78 87.62
2024-08-09 15:22:27 27.76 87.65
2024-08-09 15:22:28 27.75 87.64
2024-08-09 15:22:29 27.72 87.15
2024-08-09 15:22:30 27.70 86.84
2024-08-09 15:22:31 27.69 86.66
2024-08-09 15:22:32 27.67 86.56
2024-08-09 15:22:33 27.70 86.47
2024-08-09 15:22:34 27.68 86.28
2024-08-09 15:22:35 27.65 85.89
2024-08-09 15:22:36 27.63 85.75
2024-08-09 15:22:37 27.62 85.74
2024-08-09 15:22:38 27.61 85.79
2024-08-09 15:22:39 27.60 85.42
2024-08-09 15:22:40 27.58 85.28
2024-08-09 15:22:41 27.59 85.34
2024-08-09 15:22:42 27.59 85.43
2024-08-09 15:22:43 27.61 85.48
2024-08-09 15:22:44 27.57 85.67
2024-08-09 15:22:45 27.58 86.32
2024-08-09 15:22:46 27.55 85.97
2024-08-09 15:22:47 27.59 86.43
2024-08-09 15:22:48 27.59 86.76
2024-08-09 15:22:49 27.59 86.78
2024-08-09 15:22:50 27.60 86.81
2024-08-09 15:22:51 27.64 86.85
2024-08-09 15:22:52 27.60 87.23
2024-08-09 15:22:53 27.58 87.31
2024-08-09 15:22:54 27.59 86.90
2024-08-09 15:22:55 27.62 87.11
2024-08-09 15:22:56 27.61 87.20
2024-08-09 15:22:57 27.61 87.00
2024-08-09 15:22:58 27.58 86.91
2024-08-09 15:22:59 27.59 86.78
2024-08-09 15:23:00 27.60 86.67
2024-08-09 15:23:01 27.57 86.49
2024-08-09 15:23:02 27.57 86.46
2024-08-09 15:23:03 27.56 86.40
2024-08-09 15:23:04 27.55 86.45
2024-08-09 15:23:05 27.55 86.70
2024-08-09 15:23:06 27.57 86.78
2024-08-09 15:23:07 27.54 86.96
2024-08-09 15:23:08 27.58 87.13
2024-08-09 15:23:10 27.59 87.16
2024-08-09 15:23:11 27.58 87.13
2024-08-09 15:23:12 27.60 87.13
2024-08-09 15:23:13 27.61 87.14
2024-08-09 15:23:14 27.62 87.10
2024-08-09 15:23:15 27.61 87.18
2024-08-09 15:23:16 27.66 87.25
2024-08-09 15:23:17 27.64 87.23
2024-08-09 15:23:18 27.63 87.29
2024-08-09 15:23:19 27.63 87.42
2024-08-09 15:23:20 27.64 87.51
2024-08-09 15:23:21 27.60 87.04
2024-08-09 15:23:22 27.59 85.69
2024-08-09 15:23:23 27.57 85.35
2024-08-09 15:23:24 27.54 84.64
2024-08-09 15:23:25 27.48 84.69
2024-08-09 15:23:26 27.48 84.44
2024-08-09 15:23:27 27.51 84.06
2024-08-09 15:23:28 27.48 83.94
2024-08-09 15:23:29 27.43 83.89
2024-08-09 15:23:30 27.39 83.82
2024-08-09 15:23:31 27.40 83.95
2024-08-09 15:23:32 27.39 84.10
2024-08-09 15:23:33 27.38 84.15
2024-08-09 15:23:34 27.36 84.17
2024-08-09 15:23:35 27.35 83.84
2024-08-09 15:23:36 27.33 83.76
2024-08-09 15:23:37 27.33 83.63
2024-08-09 15:23:38 27.28 83.34
2024-08-09 15:23:39 27.27 83.29
2024-08-09 15:23:40 27.25 83.23
2024-08-09 15:23:41 27.24 83.25
2024-08-09 15:23:42 27.28 83.02
2024-08-09 15:23:43 27.30 83.20
2024-08-09 15:23:44 27.30 83.17
2024-08-09 15:23:45 27.31 83.31
2024-08-09 15:23:46 27.34 84.44
2024-08-09 15:23:47 27.34 84.33
2024-08-09 15:23:48 27.36 84.49
2024-08-09 15:23:49 27.35 85.02
2024-08-09 15:23:50 27.35 85.39
2024-08-09 15:23:51 27.36 85.51
2024-08-09 15:23:52 27.36 85.63
2024-08-09 15:23:53 27.33 85.48
2024-08-09 15:23:54 27.34 85.47
2024-08-09 15:23:55 27.33 85.23
2024-08-09 15:23:57 27.32 85.01
2024-08-09 15:23:58 27.31 84.93
2024-08-09 15:23:59 27.31 84.89
2024-08-09 15:24:00 27.33 84.83
2024-08-09 15:24:01 27.34 84.84
2024-08-09 15:24:02 27.33 84.97
2024-08-09 15:24:03 27.35 85.03
2024-08-09 15:24:04 27.32 85.21
2024-08-09 15:24:05 27.34 85.37
2024-08-09 15:24:06 27.35 85.74
2024-08-09 15:24:07 27.32 85.98
2024-08-09 15:24:08 27.35 86.13
2024-08-09 15:24:09 27.35 86.06
2024-08-09 15:24:10 27.37 86.09
2024-08-09 15:24:11 27.38 86.11
2024-08-09 15:24:12 27.40 86.27
2024-08-09 15:24:13 27.38 86.23
2024-08-09 15:24:14 27.42 86.27
2024-08-09 15:24:15 27.43 86.28
2024-08-09 15:24:16 27.42 86.38
2024-08-09 15:24:17 27.42 86.31
2024-08-09 15:24:18 27.44 86.34
2024-08-09 15:24:19 27.46 86.30
2024-08-09 15:24:20 27.45 86.35
2024-08-09 15:24:21 27.44 86.04
2024-08-09 15:24:22 27.43 84.84
2024-08-09 15:24:23 27.41 84.28
2024-08-09 15:24:24 27.37 84.03
2024-08-09 15:24:25 27.37 83.87
2024-08-09 15:24:26 27.35 83.86
2024-08-09 15:24:27 27.33 83.62
2024-08-09 15:24:28 27.30 83.24
2024-08-09 15:24:29 27.30 83.01
2024-08-09 15:24:30 27.24 83.82
2024-08-09 15:24:31 27.23 83.98
2024-08-09 15:24:32 27.22 83.81
2024-08-09 15:24:33 27.22 83.66
2024-08-09 15:24:34 27.18 82.84
2024-08-09 15:24:35 27.14 82.78
2024-08-09 15:24:36 27.14 82.47
2024-08-09 15:24:37 27.10 82.20
2024-08-09 15:24:38 27.09 82.30
2024-08-09 15:24:39 27.11 82.31
2024-08-09 15:24:40 27.10 82.05
2024-08-09 15:24:41 27.08 82.41
2024-08-09 15:24:42 27.13 82.30
2024-08-09 15:24:43 27.11 82.49
2024-08-09 15:24:45 27.11 82.71
2024-08-09 15:24:46 27.12 82.88
2024-08-09 15:24:47 27.11 83.26
2024-08-09 15:24:48 27.14 83.45
2024-08-09 15:24:49 27.11 83.52
2024-08-09 15:24:50 27.11 84.11
2024-08-09 15:24:51 27.12 84.15
2024-08-09 15:24:52 27.12 84.16
2024-08-09 15:24:53 27.13 84.27
2024-08-09 15:24:54 27.16 83.93
2024-08-09 15:24:55 27.15 83.70
2024-08-09 15:24:56 27.14 83.26
2024-08-09 15:24:57 27.14 83.24
2024-08-09 15:24:58 27.12 83.03
2024-08-09 15:24:59 27.09 83.16
2024-08-09 15:25:00 27.09 83.24
2024-08-09 15:25:01 27.12 83.67
2024-08-09 15:25:02 27.09 84.22
