Timestamp Temperature(°C) Humidity(%)
2024-09-23 20:23:39 23.66 55.73
2024-09-23 20:23:40 23.68 55.74
2024-09-23 20:23:42 23.67 55.74
2024-09-23 20:23:43 23.66 55.75
2024-09-23 20:23:45 23.66 55.71
2024-09-23 20:23:46 23.65 55.73
2024-09-23 20:23:48 23.65 55.71
2024-09-23 20:23:49 23.65 55.75
2024-09-23 20:23:51 23.68 55.74
2024-09-23 20:23:52 23.66 55.76
2024-09-23 20:23:54 23.68 55.72
2024-09-23 20:23:55 23.65 55.78
2024-09-23 20:23:57 23.65 55.74
2024-09-23 20:23:58 23.67 55.71
2024-09-23 20:24:00 23.67 55.71
2024-09-23 20:24:01 23.65 55.73
2024-09-23 20:24:03 23.65 55.66
2024-09-23 20:24:04 23.66 55.70
2024-09-23 20:24:06 23.66 55.72
2024-09-23 20:24:07 23.66 55.70
2024-09-23 20:24:09 23.68 55.74
2024-09-23 20:24:10 23.70 55.71
2024-09-23 20:24:12 23.66 55.69
2024-09-23 20:24:13 23.67 55.71
2024-09-23 20:24:15 23.67 55.70
2024-09-23 20:24:16 23.68 55.68
2024-09-23 20:24:18 23.67 55.64
2024-09-23 20:24:19 23.67 55.52
2024-09-23 20:24:21 23.68 55.72
2024-09-23 20:24:22 23.67 55.66
2024-09-23 20:24:24 23.66 55.68
2024-09-23 20:24:26 23.67 55.63
2024-09-23 20:24:27 23.66 55.70
2024-09-23 20:24:29 23.67 55.68
2024-09-23 20:24:30 23.68 55.70
2024-09-23 20:24:32 23.67 55.68
2024-09-23 20:24:33 23.68 55.72
2024-09-23 20:24:35 23.68 55.74
2024-09-23 20:24:36 23.68 55.66
2024-09-23 20:24:38 23.67 55.65
2024-09-23 20:24:39 23.69 55.68
2024-09-23 20:24:41 23.68 55.71
2024-09-23 20:24:42 23.67 55.64
2024-09-23 20:24:44 23.69 55.67
2024-09-23 20:24:45 23.69 55.66
2024-09-23 20:24:47 23.68 55.69
2024-09-23 20:24:48 23.68 55.63
2024-09-23 20:24:50 23.68 55.64
2024-09-23 20:24:51 23.68 55.66
2024-09-23 20:24:53 23.70 55.63
2024-09-23 20:24:54 23.70 55.62
2024-09-23 20:24:56 23.69 55.64
2024-09-23 20:24:57 23.68 55.62
2024-09-23 20:24:59 23.68 55.67
2024-09-23 20:25:00 23.66 55.60
2024-09-23 20:25:02 23.67 55.63
2024-09-23 20:25:03 23.68 55.60
2024-09-23 20:25:05 23.70 55.64
2024-09-23 20:25:06 23.67 55.66
2024-09-23 20:25:08 23.68 55.65
2024-09-23 20:25:09 23.69 55.62
2024-09-23 20:25:11 23.66 55.62
2024-09-23 20:25:12 23.66 55.61
2024-09-23 20:25:14 23.67 55.66
2024-09-23 20:25:15 23.67 55.66
2024-09-23 20:25:17 23.66 55.64
2024-09-23 20:25:18 23.69 55.65
2024-09-23 20:25:20 23.69 55.65
2024-09-23 20:25:21 23.68 55.63
2024-09-23 20:25:23 23.68 55.66
2024-09-23 20:25:24 23.66 55.65
2024-09-23 20:25:26 23.68 55.64
2024-09-23 20:25:28 23.67 55.61
2024-09-23 20:25:29 23.68 55.58
2024-09-23 20:25:31 23.68 55.64
2024-09-23 20:25:32 23.66 55.59
2024-09-23 20:25:34 23.65 55.57
2024-09-23 20:25:35 23.70 55.62
2024-09-23 20:25:37 23.67 55.63
2024-09-23 20:25:38 23.68 55.63
2024-09-23 20:25:40 23.66 55.64
2024-09-23 20:25:41 23.68 55.63
2024-09-23 20:25:43 23.68 55.63
2024-09-23 20:25:44 23.68 55.60
2024-09-23 20:25:46 23.68 55.60
2024-09-23 20:25:47 23.68 55.59
2024-09-23 20:25:49 23.68 55.61
2024-09-23 20:25:50 23.68 55.63
2024-09-23 20:25:52 23.68 55.61
2024-09-23 20:25:53 23.69 55.60
2024-09-23 20:25:55 23.67 55.60
2024-09-23 20:25:56 23.67 55.65
2024-09-23 20:25:58 23.70 55.60
2024-09-23 20:25:59 23.67 55.66
2024-09-23 20:26:01 23.67 55.60
2024-09-23 20:26:02 23.68 55.60
2024-09-23 20:26:04 23.66 55.59
2024-09-23 20:26:05 23.68 55.60
2024-09-23 20:26:07 23.68 55.60
2024-09-23 20:26:08 23.68 55.64
2024-09-23 20:26:10 23.68 55.62
2024-09-23 20:26:11 23.69 55.62
2024-09-23 20:26:13 23.68 55.60
2024-09-23 20:26:14 23.68 55.64
2024-09-23 20:26:16 23.69 55.63
2024-09-23 20:26:17 23.68 55.63
2024-09-23 20:26:19 23.68 55.62
2024-09-23 20:26:20 23.67 55.59
2024-09-23 20:26:22 23.65 55.63
2024-09-23 20:26:23 23.67 55.64
2024-09-23 20:26:25 23.70 55.63
2024-09-23 20:26:26 23.69 55.66
2024-09-23 20:26:28 23.68 55.61
2024-09-23 20:26:30 23.67 55.65
2024-09-23 20:26:31 23.67 55.61
2024-09-23 20:26:33 23.68 55.64
2024-09-23 20:26:34 23.70 55.63
2024-09-23 20:26:36 23.69 55.63
2024-09-23 20:26:37 23.69 55.67
2024-09-23 20:26:39 23.70 55.65
2024-09-23 20:26:40 23.69 55.63
2024-09-23 20:26:42 23.68 55.61
2024-09-23 20:26:43 23.66 55.60
2024-09-23 20:26:45 23.67 55.64
2024-09-23 20:26:46 23.66 55.57
2024-09-23 20:26:48 23.68 55.62
2024-09-23 20:26:49 23.68 55.64
2024-09-23 20:26:51 23.68 55.67
2024-09-23 20:26:52 23.68 55.60
2024-09-23 20:26:54 23.69 55.68
2024-09-23 20:26:55 23.68 55.64
2024-09-23 20:26:57 23.69 55.50
2024-09-23 20:26:58 23.66 55.46
2024-09-23 20:27:00 23.68 55.63
2024-09-23 20:27:01 23.68 55.60
2024-09-23 20:27:03 23.68 55.63
2024-09-23 20:27:04 23.67 55.58
2024-09-23 20:27:06 23.66 55.66
2024-09-23 20:27:07 23.65 55.65
2024-09-23 20:27:09 23.68 55.66
2024-09-23 20:27:10 23.68 55.61
2024-09-23 20:27:12 23.68 55.65
2024-09-23 20:27:13 23.70 55.64
2024-09-23 20:27:15 23.68 55.65
2024-09-23 20:27:16 23.68 55.68
2024-09-23 20:27:18 23.66 55.65
2024-09-23 20:27:19 23.69 55.67
2024-09-23 20:27:21 23.68 55.61
2024-09-23 20:27:22 23.67 55.58
2024-09-23 20:27:24 23.68 55.63
2024-09-23 20:27:25 23.67 55.62
2024-09-23 20:27:27 23.69 55.62
2024-09-23 20:27:28 23.69 55.65
2024-09-23 20:27:30 23.67 55.58
2024-09-23 20:27:32 23.67 55.61
2024-09-23 20:27:33 23.67 55.60
2024-09-23 20:27:35 23.67 55.62
2024-09-23 20:27:36 23.68 55.59
2024-09-23 20:27:38 23.69 55.64
2024-09-23 20:27:39 23.65 55.64
2024-09-23 20:27:41 23.66 55.61
2024-09-23 20:27:42 23.67 55.63
2024-09-23 20:27:44 23.67 55.62
2024-09-23 20:27:45 23.66 55.60
2024-09-23 20:27:47 23.66 55.59
2024-09-23 20:27:48 23.65 55.60
2024-09-23 20:27:50 23.69 55.63
2024-09-23 20:27:51 23.68 55.60
2024-09-23 20:27:53 23.64 55.64
2024-09-23 20:27:54 23.65 55.59
2024-09-23 20:27:56 23.67 55.61
2024-09-23 20:27:57 23.67 55.63
2024-09-23 20:27:59 23.66 55.62
2024-09-23 20:28:00 23.67 55.60
2024-09-23 20:28:02 23.68 55.63
2024-09-23 20:28:03 23.65 55.66
