Timestamp Temperature(°C) Humidity(%)
2024-09-23 20:23:39 23.15 53.31
2024-09-23 20:23:40 23.15 53.28
2024-09-23 20:23:42 23.15 53.28
2024-09-23 20:23:43 23.17 53.29
2024-09-23 20:23:45 23.15 53.29
2024-09-23 20:23:46 23.17 53.30
2024-09-23 20:23:48 23.19 53.29
2024-09-23 20:23:49 23.19 53.27
2024-09-23 20:23:51 23.18 53.26
2024-09-23 20:23:52 23.19 53.20
2024-09-23 20:23:54 23.19 53.24
2024-09-23 20:23:55 23.18 53.21
2024-09-23 20:23:57 23.17 53.23
2024-09-23 20:23:58 23.18 53.20
2024-09-23 20:24:00 23.19 53.20
2024-09-23 20:24:01 23.19 53.22
2024-09-23 20:24:03 23.18 53.19
2024-09-23 20:24:04 23.19 53.18
2024-09-23 20:24:06 23.19 53.19
2024-09-23 20:24:07 23.18 53.18
2024-09-23 20:24:09 23.20 53.18
2024-09-23 20:24:10 23.20 53.16
2024-09-23 20:24:12 23.20 53.12
2024-09-23 20:24:13 23.20 53.13
2024-09-23 20:24:15 23.20 53.16
2024-09-23 20:24:16 23.21 53.14
2024-09-23 20:24:18 23.23 53.16
2024-09-23 20:24:19 23.22 53.17
2024-09-23 20:24:21 23.21 53.10
2024-09-23 20:24:22 23.20 53.13
2024-09-23 20:24:24 23.22 53.11
2024-09-23 20:24:26 23.23 53.12
2024-09-23 20:24:27 23.23 53.12
2024-09-23 20:24:29 23.22 53.12
2024-09-23 20:24:30 23.23 53.10
2024-09-23 20:24:32 23.24 53.09
2024-09-23 20:24:33 23.25 53.12
2024-09-23 20:24:35 23.24 53.10
2024-09-23 20:24:36 23.25 53.09
2024-09-23 20:24:38 23.24 53.07
2024-09-23 20:24:39 23.23 53.06
2024-09-23 20:24:41 23.22 53.06
2024-09-23 20:24:42 23.25 53.02
2024-09-23 20:24:44 23.23 53.05
2024-09-23 20:24:45 23.23 53.02
2024-09-23 20:24:47 23.23 53.04
2024-09-23 20:24:48 23.24 53.07
2024-09-23 20:24:50 23.25 53.06
2024-09-23 20:24:51 23.24 53.02
2024-09-23 20:24:53 23.24 53.07
2024-09-23 20:24:54 23.25 53.04
2024-09-23 20:24:56 23.25 53.05
2024-09-23 20:24:57 23.24 53.03
2024-09-23 20:24:59 23.24 53.03
2024-09-23 20:25:00 23.27 53.02
2024-09-23 20:25:02 23.26 53.01
2024-09-23 20:25:03 23.24 53.02
2024-09-23 20:25:05 23.28 53.00
2024-09-23 20:25:06 23.26 52.99
2024-09-23 20:25:08 23.26 53.02
2024-09-23 20:25:09 23.26 53.02
2024-09-23 20:25:11 23.27 53.02
2024-09-23 20:25:12 23.27 53.00
2024-09-23 20:25:14 23.26 53.00
2024-09-23 20:25:15 23.26 52.99
2024-09-23 20:25:17 23.25 53.05
2024-09-23 20:25:18 23.28 53.03
2024-09-23 20:25:20 23.25 52.99
2024-09-23 20:25:21 23.27 52.99
2024-09-23 20:25:23 23.27 52.97
2024-09-23 20:25:24 23.28 53.00
2024-09-23 20:25:26 23.27 52.93
2024-09-23 20:25:28 23.27 52.97
2024-09-23 20:25:29 23.26 52.96
2024-09-23 20:25:31 23.27 52.95
2024-09-23 20:25:32 23.28 52.94
2024-09-23 20:25:34 23.27 52.94
2024-09-23 20:25:35 23.28 52.97
2024-09-23 20:25:37 23.26 52.94
2024-09-23 20:25:38 23.28 52.97
2024-09-23 20:25:40 23.27 52.93
2024-09-23 20:25:41 23.28 52.96
2024-09-23 20:25:43 23.29 52.94
2024-09-23 20:25:44 23.27 52.93
2024-09-23 20:25:46 23.29 52.94
2024-09-23 20:25:47 23.29 52.96
2024-09-23 20:25:49 23.27 52.93
2024-09-23 20:25:50 23.28 52.92
2024-09-23 20:25:52 23.28 52.93
2024-09-23 20:25:53 23.27 52.91
2024-09-23 20:25:55 23.29 52.89
2024-09-23 20:25:56 23.31 52.91
2024-09-23 20:25:58 23.30 52.93
2024-09-23 20:25:59 23.29 52.89
2024-09-23 20:26:01 23.27 52.91
2024-09-23 20:26:02 23.30 52.91
2024-09-23 20:26:04 23.29 52.87
2024-09-23 20:26:05 23.27 52.87
2024-09-23 20:26:07 23.31 52.89
2024-09-23 20:26:08 23.28 52.92
2024-09-23 20:26:10 23.28 52.92
2024-09-23 20:26:11 23.29 52.86
2024-09-23 20:26:13 23.29 52.87
2024-09-23 20:26:14 23.30 52.91
2024-09-23 20:26:16 23.29 52.87
2024-09-23 20:26:17 23.31 52.87
2024-09-23 20:26:19 23.28 52.91
2024-09-23 20:26:20 23.28 52.83
2024-09-23 20:26:22 23.31 52.87
2024-09-23 20:26:23 23.29 52.87
2024-09-23 20:26:25 23.31 52.89
2024-09-23 20:26:26 23.31 52.88
2024-09-23 20:26:28 23.30 52.85
2024-09-23 20:26:30 23.29 52.91
2024-09-23 20:26:31 23.31 52.89
2024-09-23 20:26:33 23.30 52.85
2024-09-23 20:26:34 23.29 52.85
2024-09-23 20:26:36 23.30 52.83
2024-09-23 20:26:37 23.32 52.87
2024-09-23 20:26:39 23.32 52.87
2024-09-23 20:26:40 23.31 52.89
2024-09-23 20:26:42 23.31 52.86
2024-09-23 20:26:43 23.31 52.87
2024-09-23 20:26:45 23.30 52.85
2024-09-23 20:26:46 23.28 52.89
2024-09-23 20:26:48 23.31 52.86
2024-09-23 20:26:49 23.31 52.82
2024-09-23 20:26:51 23.31 52.90
2024-09-23 20:26:52 23.31 52.86
