Timestamp Temperature(°C) Humidity(%)
2024-09-23 20:23:39 23.75 56.14
2024-09-23 20:23:40 23.79 56.13
2024-09-23 20:23:42 23.76 56.13
2024-09-23 20:23:43 23.77 56.15
2024-09-23 20:23:45 23.76 56.10
2024-09-23 20:23:46 23.77 56.10
2024-09-23 20:23:48 23.76 56.08
2024-09-23 20:23:49 23.78 56.12
2024-09-23 20:23:51 23.76 56.13
2024-09-23 20:23:52 23.77 56.14
2024-09-23 20:23:54 23.77 56.08
2024-09-23 20:23:55 23.77 56.05
2024-09-23 20:23:57 23.77 56.08
2024-09-23 20:23:58 23.78 56.08
2024-09-23 20:24:00 23.76 56.06
2024-09-23 20:24:01 23.77 56.06
2024-09-23 20:24:03 23.78 56.05
2024-09-23 20:24:04 23.78 56.09
2024-09-23 20:24:06 23.78 56.06
2024-09-23 20:24:07 23.77 56.06
2024-09-23 20:24:09 23.76 56.05
2024-09-23 20:24:10 23.77 56.03
2024-09-23 20:24:12 23.76 56.03
2024-09-23 20:24:13 23.78 56.04
2024-09-23 20:24:15 23.77 56.06
2024-09-23 20:24:16 23.78 56.02
2024-09-23 20:24:18 23.78 56.03
2024-09-23 20:24:19 23.78 56.05
2024-09-23 20:24:21 23.77 56.01
2024-09-23 20:24:22 23.77 56.06
2024-09-23 20:24:24 23.79 56.07
2024-09-23 20:24:26 23.78 56.04
2024-09-23 20:24:27 23.80 56.04
2024-09-23 20:24:29 23.78 56.04
2024-09-23 20:24:30 23.78 56.01
2024-09-23 20:24:32 23.78 56.04
2024-09-23 20:24:33 23.78 56.05
2024-09-23 20:24:35 23.79 56.02
2024-09-23 20:24:36 23.78 55.99
2024-09-23 20:24:38 23.79 56.00
2024-09-23 20:24:39 23.79 56.02
2024-09-23 20:24:41 23.79 56.03
2024-09-23 20:24:42 23.78 56.00
2024-09-23 20:24:44 23.80 55.99
2024-09-23 20:24:45 23.79 56.02
2024-09-23 20:24:47 23.79 56.00
2024-09-23 20:24:48 23.80 56.02
2024-09-23 20:24:50 23.79 55.99
2024-09-23 20:24:51 23.79 56.00
2024-09-23 20:24:53 23.81 55.97
2024-09-23 20:24:54 23.79 55.97
2024-09-23 20:24:56 23.79 55.98
2024-09-23 20:24:57 23.78 55.99
2024-09-23 20:24:59 23.79 56.01
2024-09-23 20:25:00 23.80 55.98
2024-09-23 20:25:02 23.79 56.00
2024-09-23 20:25:03 23.80 55.98
2024-09-23 20:25:05 23.79 55.98
2024-09-23 20:25:06 23.81 55.98
2024-09-23 20:25:08 23.80 56.02
2024-09-23 20:25:09 23.78 55.98
2024-09-23 20:25:11 23.80 56.00
2024-09-23 20:25:12 23.81 55.97
2024-09-23 20:25:14 23.79 55.99
2024-09-23 20:25:15 23.79 55.98
2024-09-23 20:25:17 23.80 55.98
2024-09-23 20:25:18 23.79 56.00
2024-09-23 20:25:20 23.80 55.94
2024-09-23 20:25:21 23.80 55.96
2024-09-23 20:25:23 23.79 55.98
2024-09-23 20:25:24 23.81 55.96
2024-09-23 20:25:26 23.81 55.95
2024-09-23 20:25:28 23.80 55.96
2024-09-23 20:25:29 23.81 55.96
2024-09-23 20:25:31 23.82 55.96
2024-09-23 20:25:32 23.80 55.92
2024-09-23 20:25:34 23.81 55.96
2024-09-23 20:25:35 23.80 55.95
2024-09-23 20:25:37 23.79 55.95
2024-09-23 20:25:38 23.81 55.97
2024-09-23 20:25:40 23.80 55.94
2024-09-23 20:25:41 23.81 55.97
2024-09-23 20:25:43 23.81 55.97
2024-09-23 20:25:44 23.79 55.94
2024-09-23 20:25:46 23.81 55.94
2024-09-23 20:25:47 23.82 55.96
2024-09-23 20:25:49 23.79 55.92
2024-09-23 20:25:50 23.80 55.90
2024-09-23 20:25:52 23.82 55.92
2024-09-23 20:25:53 23.78 55.92
2024-09-23 20:25:55 23.80 55.94
2024-09-23 20:25:56 23.80 55.91
2024-09-23 20:25:58 23.78 55.93
2024-09-23 20:25:59 23.79 55.90
2024-09-23 20:26:01 23.79 55.92
2024-09-23 20:26:02 23.81 55.92
2024-09-23 20:26:04 23.81 55.94
2024-09-23 20:26:05 23.81 55.91
2024-09-23 20:26:07 23.80 55.95
2024-09-23 20:26:08 23.79 55.90
2024-09-23 20:26:10 23.81 55.94
2024-09-23 20:26:11 23.80 55.95
2024-09-23 20:26:13 23.80 55.94
2024-09-23 20:26:14 23.81 55.94
2024-09-23 20:26:16 23.80 55.91
2024-09-23 20:26:17 23.82 55.93
2024-09-23 20:26:19 23.81 55.92
2024-09-23 20:26:20 23.80 55.94
2024-09-23 20:26:22 23.81 55.91
2024-09-23 20:26:23 23.81 55.92
2024-09-23 20:26:25 23.81 55.92
2024-09-23 20:26:26 23.79 55.93
2024-09-23 20:26:28 23.82 55.96
2024-09-23 20:26:30 23.79 55.92
2024-09-23 20:26:31 23.79 55.93
2024-09-23 20:26:33 23.81 55.98
2024-09-23 20:26:34 23.80 55.94
2024-09-23 20:26:36 23.79 55.92
2024-09-23 20:26:37 23.80 55.96
2024-09-23 20:26:39 23.80 55.97
2024-09-23 20:26:40 23.79 55.91
2024-09-23 20:26:42 23.80 55.94
2024-09-23 20:26:43 23.80 55.91
2024-09-23 20:26:45 23.80 55.93
2024-09-23 20:26:46 23.78 55.92
2024-09-23 20:26:48 23.80 55.95
2024-09-23 20:26:49 23.78 55.93
2024-09-23 20:26:51 23.80 55.91
2024-09-23 20:26:52 23.80 55.96
2024-09-23 20:26:54 23.80 55.95
2024-09-23 20:26:55 23.81 55.96
2024-09-23 20:26:57 23.78 55.92
2024-09-23 20:26:58 23.77 55.89
2024-09-23 20:27:00 23.79 55.92
2024-09-23 20:27:01 23.80 55.94
2024-09-23 20:27:03 23.79 55.91
2024-09-23 20:27:04 23.78 55.89
2024-09-23 20:27:06 23.78 55.93
2024-09-23 20:27:07 23.80 55.92
2024-09-23 20:27:09 23.78 55.91
2024-09-23 20:27:10 23.79 55.93
2024-09-23 20:27:12 23.79 55.91
2024-09-23 20:27:13 23.78 55.89
2024-09-23 20:27:15 23.80 55.94
2024-09-23 20:27:16 23.80 55.93
2024-09-23 20:27:18 23.79 55.92
2024-09-23 20:27:19 23.80 55.95
2024-09-23 20:27:21 23.77 55.88
2024-09-23 20:27:22 23.79 55.95
2024-09-23 20:27:24 23.80 55.95
2024-09-23 20:27:25 23.79 55.93
2024-09-23 20:27:27 23.79 55.91
2024-09-23 20:27:28 23.79 55.91
2024-09-23 20:27:30 23.78 55.89
2024-09-23 20:27:32 23.80 55.94
2024-09-23 20:27:33 23.79 55.93
2024-09-23 20:27:35 23.80 55.94
2024-09-23 20:27:36 23.79 55.95
2024-09-23 20:27:38 23.78 55.91
2024-09-23 20:27:39 23.77 55.87
2024-09-23 20:27:41 23.77 55.90
2024-09-23 20:27:42 23.78 55.92
2024-09-23 20:27:44 23.78 55.92
2024-09-23 20:27:45 23.78 55.89
2024-09-23 20:27:47 23.78 55.94
2024-09-23 20:27:48 23.80 55.93
2024-09-23 20:27:50 23.79 55.90
2024-09-23 20:27:51 23.78 55.91
2024-09-23 20:27:53 23.80 55.93
2024-09-23 20:27:54 23.79 55.90
2024-09-23 20:27:56 23.80 55.91
2024-09-23 20:27:57 23.79 55.89
2024-09-23 20:27:59 23.79 55.91
2024-09-23 20:28:00 23.78 55.92
2024-09-23 20:28:02 23.78 55.88
2024-09-23 20:28:03 23.79 55.92
2024-09-23 20:28:05 23.78 55.91
2024-09-23 20:28:06 23.78 55.91
2024-09-23 20:28:08 23.79 55.90
2024-09-23 20:28:09 23.77 55.87
2024-09-23 20:28:11 23.78 55.91
2024-09-23 20:28:12 23.79 55.93
2024-09-23 20:28:14 23.78 55.93
2024-09-23 20:28:15 23.78 55.91
2024-09-23 20:28:17 23.79 55.93
