Timestamp Temperature(°C) Humidity(%)
2024-09-23 20:23:39 24.14 53.74
2024-09-23 20:23:40 24.16 53.78
2024-09-23 20:23:42 24.15 53.74
2024-09-23 20:23:43 24.15 53.78
2024-09-23 20:23:45 24.13 53.77
2024-09-23 20:23:46 24.15 53.79
2024-09-23 20:23:48 24.15 53.75
2024-09-23 20:23:49 24.16 53.77
2024-09-23 20:23:51 24.15 53.78
2024-09-23 20:23:52 24.15 53.72
2024-09-23 20:23:54 24.15 53.74
2024-09-23 20:23:55 24.14 53.79
2024-09-23 20:23:57 24.16 53.74
2024-09-23 20:23:58 24.16 53.73
2024-09-23 20:24:00 24.13 53.72
2024-09-23 20:24:01 24.14 53.71
2024-09-23 20:24:03 24.14 53.71
2024-09-23 20:24:04 24.14 53.71
2024-09-23 20:24:06 24.14 53.66
2024-09-23 20:24:07 24.15 53.70
2024-09-23 20:24:09 24.16 53.69
2024-09-23 20:24:10 24.15 53.67
2024-09-23 20:24:12 24.16 53.68
2024-09-23 20:24:13 24.15 53.70
2024-09-23 20:24:15 24.15 53.68
2024-09-23 20:24:16 24.15 53.74
2024-09-23 20:24:18 24.16 53.71
2024-09-23 20:24:19 24.17 53.71
2024-09-23 20:24:21 24.17 53.70
2024-09-23 20:24:22 24.16 53.70
2024-09-23 20:24:24 24.16 53.68
2024-09-23 20:24:26 24.15 53.67
2024-09-23 20:24:27 24.17 53.70
2024-09-23 20:24:29 24.17 53.66
2024-09-23 20:24:30 24.18 53.68
2024-09-23 20:24:32 24.18 53.68
2024-09-23 20:24:33 24.18 53.67
2024-09-23 20:24:35 24.18 53.68
2024-09-23 20:24:36 24.16 53.64
2024-09-23 20:24:38 24.17 53.67
2024-09-23 20:24:39 24.17 53.67
2024-09-23 20:24:41 24.15 53.64
2024-09-23 20:24:42 24.17 53.69
2024-09-23 20:24:44 24.15 53.67
2024-09-23 20:24:45 24.16 53.67
2024-09-23 20:24:47 24.16 53.65
2024-09-23 20:24:48 24.17 53.67
2024-09-23 20:24:50 24.18 53.67
2024-09-23 20:24:51 24.16 53.64
2024-09-23 20:24:53 24.16 53.63
2024-09-23 20:24:54 24.15 53.62
2024-09-23 20:24:56 24.18 53.63
2024-09-23 20:24:57 24.18 53.65
2024-09-23 20:24:59 24.17 53.62
2024-09-23 20:25:00 24.18 53.63
2024-09-23 20:25:02 24.16 53.63
2024-09-23 20:25:03 24.17 53.65
2024-09-23 20:25:05 24.17 53.63
2024-09-23 20:25:06 24.16 53.65
2024-09-23 20:25:08 24.19 53.63
2024-09-23 20:25:09 24.19 53.66
2024-09-23 20:25:11 24.18 53.63
2024-09-23 20:25:12 24.17 53.62
2024-09-23 20:25:14 24.17 53.62
2024-09-23 20:25:15 24.19 53.63
2024-09-23 20:25:17 24.18 53.64
2024-09-23 20:25:18 24.17 53.65
2024-09-23 20:25:20 24.17 53.62
2024-09-23 20:25:21 24.19 53.62
2024-09-23 20:25:23 24.18 53.61
2024-09-23 20:25:24 24.19 53.64
2024-09-23 20:25:26 24.19 53.62
2024-09-23 20:25:28 24.18 53.63
