Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:13:55 25.91 51.63
2024-09-23 05:13:56 25.90 51.58
2024-09-23 05:13:58 25.89 51.60
2024-09-23 05:13:59 25.91 51.56
2024-09-23 05:14:01 25.90 51.56
2024-09-23 05:14:02 25.88 51.57
2024-09-23 05:14:04 25.90 51.61
2024-09-23 05:14:05 25.89 51.57
2024-09-23 05:14:07 25.89 51.53
2024-09-23 05:14:08 25.88 51.59
2024-09-23 05:14:10 25.91 51.56
2024-09-23 05:14:11 25.89 51.57
2024-09-23 05:14:13 25.90 51.58
2024-09-23 05:14:14 25.88 51.58
2024-09-23 05:14:16 25.90 51.55
2024-09-23 05:14:17 25.89 51.59
2024-09-23 05:14:19 25.91 51.55
2024-09-23 05:14:20 25.90 51.54
2024-09-23 05:14:22 25.90 51.55
2024-09-23 05:14:23 25.90 51.56
2024-09-23 05:14:25 25.89 51.59
2024-09-23 05:14:26 25.90 51.56
2024-09-23 05:14:28 25.88 51.62
2024-09-23 05:14:29 25.88 51.54
2024-09-23 05:14:31 25.90 51.58
2024-09-23 05:14:32 25.90 51.61
2024-09-23 05:14:34 25.89 51.54
2024-09-23 05:14:35 25.89 51.59
2024-09-23 05:14:37 25.91 51.62
2024-09-23 05:14:38 25.90 51.60
2024-09-23 05:14:40 25.92 51.59
2024-09-23 05:14:41 25.88 51.60
2024-09-23 05:14:43 25.89 51.57
2024-09-23 05:14:44 25.91 51.55
2024-09-23 05:14:46 25.90 51.55
2024-09-23 05:14:47 25.88 51.54
2024-09-23 05:14:49 25.91 51.61
2024-09-23 05:14:50 25.89 51.58
2024-09-23 05:14:52 25.91 51.61
2024-09-23 05:14:54 25.89 51.58
2024-09-23 05:14:55 25.89 51.59
2024-09-23 05:14:57 25.88 51.62
2024-09-23 05:14:58 25.89 51.58
2024-09-23 05:15:00 25.91 51.61
2024-09-23 05:15:01 25.88 51.60
2024-09-23 05:15:03 25.89 51.57
2024-09-23 05:15:04 25.89 51.62
2024-09-23 05:15:06 25.90 51.58
2024-09-23 05:15:07 25.88 51.60
2024-09-23 05:15:09 25.90 51.60
2024-09-23 05:15:10 25.89 51.60
2024-09-23 05:15:12 25.89 51.61
2024-09-23 05:15:13 25.89 51.59
2024-09-23 05:15:15 25.88 51.59
2024-09-23 05:15:16 25.88 51.64
2024-09-23 05:15:18 25.87 51.59
2024-09-23 05:15:19 25.89 51.58
2024-09-23 05:15:21 25.88 51.62
2024-09-23 05:15:22 25.89 51.62
2024-09-23 05:15:24 25.88 51.59
2024-09-23 05:15:25 25.88 51.56
2024-09-23 05:15:27 25.88 51.55
2024-09-23 05:15:28 25.90 51.60
2024-09-23 05:15:30 25.89 51.60
2024-09-23 05:15:31 25.87 51.59
2024-09-23 05:15:33 25.87 51.57
2024-09-23 05:15:34 25.87 51.58
2024-09-23 05:15:36 25.88 51.63
2024-09-23 05:15:37 25.88 51.62
2024-09-23 05:15:39 25.88 51.59
2024-09-23 05:15:40 25.88 51.62
2024-09-23 05:15:42 25.87 51.61
2024-09-23 05:15:43 25.88 51.60
2024-09-23 05:15:45 25.89 51.60
2024-09-23 05:15:46 25.90 51.58
2024-09-23 05:15:48 25.87 51.61
2024-09-23 05:15:49 25.89 51.65
2024-09-23 05:15:51 25.89 51.59
2024-09-23 05:15:52 25.89 51.64
2024-09-23 05:15:54 25.89 51.61
